# Proposed Kannada display labels (BUILD_SPEC §7.5 §1). NOT authoritative.
# tier=police   : OSM amenity=police carried its own name:kn. Transformation "normalized".
# tier=locality : a locality name:kn composed with a constant station suffix. Transformation "derived".
# tier=review   : no agreed match. Renders in English until a human supplies a name.
#
# Nothing here is transliterated or invented. An empty name_kn is the correct
# outcome when the source is silent — do not fill one in by guessing.
station_code,station_name,tier,confidence,name_kn,osm_source_name
PSB-100,Pulakeshinagar,review:no_match,,,
PSB-101,Shivajinagar,review:no_match,,,
PSB-102,Malleshwarm,review:no_match,,,
PSB-103,Srirampura,review:no_match,,,
PSB-104,Subramanya Nagar,review:no_match,,,
PSB-105,Rajaji Nagar,review:no_match,,,
PSB-106,Rajgopal Nagar,review:no_match,,,
PSB-107,Mahalakshmi Layout,review:no_match,,,
PSB-108,Nandini Layout,review:no_match,,,
PSB-109,Yeshwanthapura,review:no_match,,,
PSB-110,Yeshwanthpura RMC Yard,review:no_match,,,
PSB-111,Peenya,review:no_match,,,
PSB-112,Bagalgunte,review:no_match,,,
PSB-113,Gangammagudi,review:no_match,,,
PSB-114,Soladevanahalli,review:no_match,,,
PSB-115,Jalahalli,review:no_match,,,
PSB-116,J.C. NagarPS,review:no_match,,,
PSB-117,R.T. Nagar,review:no_match,,,
PSB-118,Sanjay Nagara,review:no_match,,,
PSB-119,Hebbal,review:no_match,,,
PSB-121,Chikkajala,review:no_match,,,
PSB-123,Amruthahally,review:no_match,,,
PSB-124,Kothanur,review:no_match,,,
PSB-125,Sampigehalli,review:no_match,,,
PSB-126,Kodigehalli,review:no_match,,,
PSB-127-01,Vidhyaranyapura,review:no_match,,,
PSB-127-02,Yelahanka New Town,review:no_match,,,
PSB-128,Yelahanka,review:no_match,,,
PSB-129,Banashankari,review:no_match,,,
PSB-130,Basavanagudi,review:no_match,,,
PSB-131,Jayanagar,review:no_match,,,
PSB-132,Jayaprakash Nagar,review:no_match,,,
PSB-133,Siddapura,review:no_match,,,
PSB-134,Konanakunte,review:no_match,,,
PSB-135,Kumaraswamy Layout,review:no_match,,,
PSB-136,Puttenahalli,review:no_match,,,
PSB-137,Subramanyapura,review:no_match,,,
PSB-138,Thalaghattapura,review:no_match,,,
PSB-139,V.V. Puram,review:no_match,,,
PSB-140,C.K.Acchukattu,review:no_match,,,
PSB-141,K.G.Nagar,review:no_match,,,
PSB-142,Girinagar,review:no_match,,,
PSB-143-01,Bandepalya,review:no_match,,,
PSB-143-02,parappana Agrahara,review:no_match,,,
PSB-144,Electronic City,review:no_match,,,
PSB-146,Adugodi,review:no_match,,,
PSB-147,H.S.R.Layout,review:no_match,,,
PSB-148,Koramangala,review:no_match,,,
PSB-150,Bommanahalli,review:no_match,,,
PSB-151-01,Madiwala,review:no_match,,,
PSB-151-02,Suddaguntepalya,review:no_match,,,
PSB-152,Tilak Nagar,review:no_match,,,
PSB-153,Chamarajpet,review:no_match,,,
PSB-154,City Market,review:no_match,,,
PSB-155,Cottonpet,review:no_match,,,
PSB-156,Kalasipalya,review:no_match,,,
PSB-157,Upparpet,review:no_match,,,
PSB-158,Annapoorneshwari Nagar,review:no_match,,,
PSB-159,Byatarayanapura,review:no_match,,,
PSB-160,Chandra Layout,review:no_match,,,
PSB-161,Jagajeevanram Nagar,review:no_match,,,
PSB-162,Jnanabharathi,review:no_match,,,
PSB-163,Kengeri,review:no_match,,,
PSB-164,Rajarajeshwari Nagar,review:no_match,,,
PSB-165,Basaveshwara Nagar,review:no_match,,,
PSB-166,Kamakshipalya,review:no_match,,,
PSB-167,Kempapura Agrahara,review:no_match,,,
PSB-168,Magadi Road,review:no_match,,,
PSB-169,Vijayanagar,review:no_match,,,
PSB-737,Bellanduru,review:no_match,,,
PSB-738,H.A.L.,review:no_match,,,
PSB-739,Marathahalli,review:no_match,,,
PSB-740,Varthur,review:no_match,,,
PSB-741,K.R. Puram,review:no_match,,,
PSB-742,Kadugodi,review:no_match,,,
PSB-743,Mahadevapura,review:no_match,,,
PSB-744,Whitefield,review:no_match,,,
PSB-776,Shankarapuram,review:no_match,,,
PSB-79,Cubbon Park,review:no_match,,,
PSB-795,Ashokanagara,review:no_match,,,
PSB-796,S.J. Park,review:no_match,,,
PSB-797,Bagalur,review:no_match,,,
PSB-798,Hanumathanagar,review:no_match,,,
PSB-799,Begur,review:no_match,,,
PSB-80,Vidhana Soudha,review:no_match,,,
PSB-800,Hulimavu,review:no_match,,,
PSB-801,Mico layout Bangalore,review:no_match,,,
PSB-81,Viveknagar,review:no_match,,,
PSB-82,Halasurgate,review:no_match,,,
PSB-83,Sampangiramanagar,review:no_match,,,
PSB-84,Wilsongarden,review:no_match,,,
PSB-85,High Grounds,review:no_match,,,
PSB-86,Sadashivanagar,review:no_match,,,
PSB-87,Seshadripuram,review:no_match,,,
PSB-88,Vyalikaval,review:no_match,,,
PSB-89,Banaswadi,review:no_match,,,
PSB-90,Devarajeevanahalli,review:no_match,,,
PSB-91,Hennur,review:no_match,,,
PSB-92,Kadugondana Halli,review:no_match,,,
PSB-93,Ramamurthy Nagar,review:no_match,,,
PSB-94,Byappanahalli,review:no_match,,,
PSB-95,Halasur,review:no_match,,,
PSB-96,Indiranagar,review:no_match,,,
PSB-97,Jeevan Bheemanagar,review:no_match,,,
PSB-98,Bharathi Nagar,review:no_match,,,
PSB-99,Commercial Street,review:no_match,,,
